date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-05-11,0,3,0,0,0,0,8,9,2,2,0,0,0,2,0,0,0
2010-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-13,0,0,0,0,8,9,5,9,5,0,0,3,0,7,0,2,0
2010-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-15,0,0,0,0,0,1,8,0,9,2,0,0,0,0,0,0,0
2010-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-18,0,0,0,22,0,0,10,2,5,0,0,0,0,0,0,2,0
2010-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-20,0,0,0,0,0,5,6,7,0,0,0,0,0,3,6,0,1
2010-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-22,0,0,0,26,0,3,6,13,0,0,0,0,0,4,13,0,0
2010-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-25,0,0,0,0,0,0,11,4,0,1,2,1,1,3,0,0,0
2010-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-27,0,0,0,0,0,0,10,8,9,4,0,0,0,0,0,1,0
2010-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-29,0,0,0,0,0,1,9,3,9,0,0,1,0,0,0,0,0
2010-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,2,0,0,0,0,7,0,3,0,0,0,0,2,0,0,0
2010-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-03,0,1,0,0,0,1,8,13,2,11,4,0,0,0,0,2,0
2010-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-05,0,1,0,0,19,1,11,9,1,4,0,0,0,3,0,0,0
2010-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-08,0,1,0,0,0,3,13,8,0,0,0,0,0,1,0,0,0
2010-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-10,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,0
2010-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-12,0,0,0,0,0,2,13,6,7,0,2,1,0,0,0,0,0
2010-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-15,0,0,0,0,9,12,4,0,3,0,0,0,0,0,0,0,0
2010-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-17,0,0,0,0,10,5,4,0,0,0,0,0,0,1,1,0,0
2010-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-19,0,2,0,0,0,11,4,7,10,0,1,0,0,0,1,0,0
2010-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-22,0,0,0,0,22,8,7,5,3,1,1,0,0,9,0,0,0
2010-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-24,0,0,0,0,0,12,11,2,0,6,0,0,0,0,2,0,0
2010-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-26,0,1,0,0,3,4,4,0,0,12,0,0,0,0,0,0,0
2010-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-29,0,0,0,1,10,13,6,0,4,7,0,0,0,2,0,0,0
2010-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,1,1,10,0,12,0,0,0,0,0,0,0
2010-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-03,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0
2010-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-06,0,0,0,0,0,16,2,11,2,8,7,2,0,0,1,0,0
2010-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-08,0,0,0,0,0,1,0,12,13,10,0,0,0,0,0,0,0
2010-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-10,0,0,0,0,3,1,14,0,10,0,0,0,0,5,0,0,0
2010-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-13,0,0,0,0,0,0,0,12,9,2,0,5,0,0,0,0,0
2010-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-15,0,0,0,0,0,4,12,9,10,13,1,0,0,2,0,0,0
2010-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-17,0,0,0,0,2,2,13,15,10,2,7,0,0,3,0,0,0
2010-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-20,0,0,0,0,0,3,1,8,0,4,1,0,0,0,4,0,1
2010-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-22,0,0,0,0,0,0,10,7,9,7,0,0,0,11,4,3,0
2010-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-24,0,0,0,0,4,0,11,8,8,3,0,0,0,3,0,5,0
2010-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-27,0,0,0,0,0,1,6,8,5,11,0,0,0,3,8,0,0
2010-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-29,0,0,0,0,0,3,3,4,12,8,9,1,0,5,0,0,0
2010-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-31,0,0,0,0,0,0,14,7,15,2,0,0,0,6,1,3,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-03,0,0,0,0,14,7,10,7,15,0,0,0,0,11,0,4,0
2010-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-05,0,0,0,0,5,4,2,17,22,0,1,0,0,7,0,0,0
2010-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-07,0,0,0,0,0,9,13,1,0,5,6,0,0,4,5,0,0
2010-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-10,0,0,0,0,7,3,21,0,15,7,2,0,0,12,4,0,0
2010-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-12,0,0,0,0,17,2,11,2,8,5,0,6,0,8,1,0,0
2010-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-14,0,0,0,0,5,1,10,10,6,2,0,0,0,14,0,0,0
2010-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-17,0,0,0,0,3,4,17,1,8,9,9,0,0,8,4,0,0
2010-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-19,0,0,0,0,12,7,8,4,25,2,0,0,0,7,0,0,0
2010-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-21,0,0,0,0,2,2,10,11,7,22,9,0,0,4,1,0,0
2010-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-24,0,0,0,0,0,14,4,4,8,2,11,2,0,10,1,8,0
2010-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-26,0,0,0,0,13,1,4,0,8,0,0,1,0,14,0,2,3
2010-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-28,0,0,0,0,3,3,4,1,5,3,4,6,0,7,1,0,1
2010-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-31,0,0,2,1,6,0,6,2,9,5,0,1,0,3,3,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-02,0,0,0,0,0,0,0,1,24,2,0,19,1,7,4,2,0
2010-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-04,0,0,0,0,0,0,0,0,18,8,2,0,1,5,2,0,0
2010-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-07,0,0,0,0,0,0,0,32,10,10,0,0,0,0,0,1,2
2010-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-09,0,0,0,0,0,1,0,2,23,16,0,10,0,18,0,1,0
2010-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-11,0,0,0,0,0,0,0,0,6,11,14,1,1,6,0,0,1
2010-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
