date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-04-17,0,0,0,0,0,1,8,0,1,0,5,0,0,1,0,0,0
2010-04-18,0,0,0,0,0,7,16,1,0,0,0,0,0,2,0,0,0
2010-04-19,0,0,0,0,0,0,10,0,0,3,1,1,2,11,0,0,0
2010-04-20,0,0,0,0,0,5,0,8,2,6,1,2,0,0,0,0,0
2010-04-21,0,0,0,0,0,2,15,0,0,0,1,0,0,2,0,0,0
2010-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
2010-04-23,0,0,0,0,0,0,1,16,0,3,0,1,0,0,0,0,0
2010-04-24,0,0,0,0,0,0,7,0,1,6,9,0,0,4,0,0,0
2010-04-25,0,0,0,0,0,0,0,5,1,9,1,2,2,3,9,0,0
2010-04-26,0,0,0,0,0,1,8,0,0,1,1,2,1,2,14,0,0
2010-04-27,0,0,0,0,0,1,4,4,0,2,1,0,1,1,8,0,0
2010-04-28,0,0,0,0,0,3,0,9,0,0,1,1,0,2,13,0,0
2010-04-29,0,0,0,0,1,2,9,1,0,3,1,0,0,1,0,0,0
2010-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0
2010-05-02,0,0,0,0,0,0,2,20,0,2,1,0,0,1,2,0,0
2010-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0
2010-05-04,0,0,0,0,0,1,0,0,2,8,1,1,1,4,3,0,0
2010-05-05,0,0,0,0,0,0,0,0,0,6,0,0,0,2,9,0,0
2010-05-06,0,0,0,0,0,2,0,0,2,19,0,1,0,0,0,0,0
2010-05-07,0,0,0,0,0,0,0,0,1,13,0,0,0,3,0,0,0
2010-05-08,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0
2010-05-09,0,0,0,0,2,0,0,0,0,14,1,1,0,9,0,0,0
2010-05-10,0,0,0,0,0,0,0,0,0,23,5,0,0,1,0,0,0
2010-05-11,0,0,0,0,0,0,0,0,2,13,0,1,0,1,1,0,0
2010-05-12,0,0,0,0,0,0,0,0,1,10,1,1,0,8,0,0,0
2010-05-13,0,0,0,0,0,0,0,0,0,16,4,1,0,1,0,0,0
2010-05-14,0,0,0,0,1,0,0,0,1,12,4,1,0,3,0,0,0
2010-05-15,0,0,0,0,0,1,0,1,2,19,0,0,0,0,0,0,0
2010-05-16,0,0,0,0,0,0,0,0,3,12,1,7,0,0,0,0,0
2010-05-17,0,0,0,0,0,0,1,0,0,0,0,18,1,2,3,0,0
2010-05-18,0,0,0,0,0,0,0,0,0,19,1,1,0,10,0,0,0
2010-05-19,0,0,0,0,0,0,0,0,4,17,1,0,0,0,0,0,0
2010-05-20,0,0,0,0,0,0,0,0,4,15,5,1,0,6,0,0,0
2010-05-21,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0
2010-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,3
2010-05-23,0,0,0,0,0,1,0,0,0,25,2,0,0,0,0,0,0
2010-05-24,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0
2010-05-25,0,0,0,0,0,0,0,0,1,19,0,1,0,10,0,0,0
2010-05-26,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2010-05-27,0,0,0,0,3,0,0,1,1,15,1,1,0,2,0,0,0
2010-05-28,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0
2010-05-29,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0
2010-05-30,0,0,0,0,1,0,0,0,5,16,0,0,0,1,0,0,0
2010-05-31,0,0,0,0,0,0,1,0,2,19,0,0,0,6,0,0,0
2010-06-01,0,0,0,0,1,0,8,0,0,8,2,1,0,11,0,0,0
2010-06-02,0,0,0,0,0,11,1,3,1,14,0,0,0,0,0,0,0
2010-06-03,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0
2010-06-04,0,0,0,0,0,0,7,0,0,13,0,0,0,6,0,0,0
2010-06-05,0,0,0,0,0,0,0,0,2,16,0,0,0,4,0,0,0
2010-06-06,0,0,0,0,2,0,1,0,0,14,13,1,0,7,0,0,0
2010-06-07,0,0,0,0,2,0,1,0,0,15,10,0,0,0,0,0,0
2010-06-08,0,0,0,0,0,0,0,0,0,0,2,0,0,1,13,0,2
2010-06-09,0,0,0,0,0,1,0,1,0,3,12,1,1,2,10,0,0
2010-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-11,0,0,0,0,0,0,0,0,1,16,0,0,0,2,1,0,0
2010-06-12,0,0,0,0,5,0,0,0,5,23,0,0,0,7,0,0,0
2010-06-13,0,0,0,0,1,0,0,0,1,16,4,1,1,10,0,0,0
2010-06-14,0,0,0,0,0,0,0,0,0,2,18,1,0,3,0,0,0
2010-06-15,0,0,0,0,0,0,16,0,3,13,1,1,0,7,0,0,0
2010-06-16,0,0,0,0,1,5,0,0,0,15,0,0,0,0,0,0,0
2010-06-17,0,0,0,0,0,1,0,0,1,0,0,10,1,1,11,0,0
2010-06-18,0,0,0,0,0,0,0,0,14,19,1,1,0,6,0,0,0
2010-06-19,0,0,0,0,1,0,0,0,1,18,1,1,0,10,0,0,0
2010-06-20,0,0,0,0,3,0,0,1,0,10,0,3,0,13,0,0,0
2010-06-21,0,0,0,0,6,1,12,0,1,12,0,0,0,13,0,0,0
2010-06-22,0,0,0,0,0,0,1,0,3,11,0,1,0,22,0,0,0
2010-06-23,0,0,0,0,2,0,0,0,0,14,1,1,0,14,0,0,0
2010-06-24,0,0,0,0,1,0,0,0,2,13,1,1,0,14,0,0,0
2010-06-25,0,0,0,0,0,0,0,0,0,1,14,0,0,6,2,0,0
2010-06-26,0,0,0,0,1,0,0,0,0,6,2,1,0,15,0,0,0
2010-06-27,0,0,0,0,0,0,0,0,5,6,0,0,0,25,0,0,0
2010-06-28,0,0,0,0,0,2,0,0,0,8,3,0,0,2,22,0,0
2010-06-29,0,0,0,0,4,0,0,0,0,13,0,0,0,13,0,0,0
2010-06-30,0,0,0,0,0,0,0,0,2,8,9,1,0,15,0,0,0
2010-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,35,2,0,0
2010-07-02,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0
2010-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2010-07-04,3,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0
2010-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2010-07-06,0,0,0,0,0,1,0,0,0,0,0,0,0,5,23,0,0
2010-07-07,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0
2010-07-08,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0
2010-07-09,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0
2010-07-10,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0
2010-07-11,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0
2010-07-12,0,0,0,0,2,0,0,0,0,0,0,0,0,35,0,0,0
